,graph_artists,playlist_artists,graph_ID,graph_pop,playlist_ID,playlist_pop
53,destiny’s child,bee gees,1Y8cdNmUJH7yBTd9yOvr5i,75,1LZEQNv7sE11VDY3SdxQeN,77
54,teenage fanclub,john lennon,2Sp19cOHSqAUlE64hekARW,46,4x1nvY2FN8jxqAFA0DA02H,73
55,s club 7,mumford & sons,1kM5rgJvkiDMOoKX56H6pX,62,3gd8FJtBJtkRxdfbTu19U2,78
56,stevie wonder,bon jovi,7guDJrEfX3qb6FEbdPA5qi,79,58lV9VcRSjABbAbfWS6skp,80
57,bill monroe and the bluegrass boys,dire straits,5CWbfANRpZbnxdstzcNg5H,37,0WwSkZ7LtFUFjGjMZBMt6T,77
58,the boomtown rats,joan osborne,40oYPr305MsT2lsiXr9fX9,52,0djV4iaxhNfYWpH60ia85o,55
59,*nsync,tina turner,6Ff53KvcvAj5U7Z1vojB5o,71,1zuJe6b1roixEKMOtyrEak,71
60,donald fagen,no doubt,0S1SjYebdSaiMpI8xSW2Wb,50,0cQbJU1aAzvbEmTuljWLlF,69
61,scissor sisters,racoon,3Y10boYzeuFCJ4Qgp53w6o,63,30mNTnmvPn3HwXA5dW1Iza,66
62,brotherhood of man,bløf,4Cyr5aqgXza16isOrQNOvo,36,0,0
63,dr. john,james morrison,320TrJub4arztwXRm7kqVO,58,3LpLGlgRS1IKPPwElnpW35,67
64,54-40,triggerfinger,1Y4l4YawNAZndGBSrZxb3N,42,3UhIlk54Oe4ja06V962ptU,45
65,the cowsills,adele,4ZSzroBNV7HzBDO9aohuF1,41,4dpARuHxo51G3z768sgnrY,84
66,gavin rossdale,crowded house,6lBam1B1t8wpnH7pJHWnj6,38,7ohlPA8dRBtCf92zaZCaaB,68
67,spirit of the forest,the police,48jBABk3GZiryXOxEOjads,0,5NGO30tJxFlKixkPSgXcFE,77
68,the neptunes,supertramp,0KuF7reCTOZwV7YJnHQqgr,45,3JsMj0DEzyWc0VDlHuy9Bx,72
69,aaron carter,george michael,5338fdSzGNOFD4cxAxDTeq,50,19ra5tSw0tWufvUp8GotLo,75
70,the revolution,kanye west,7y4wIG2U2P7lRBt8yW6pu2,13,5K4W6rqBFWDnAN6FQUkS6x,90
71,prince,snoop dogg,5a2EaR3hamoenG9rDuVn8j,75,7hJcb9fa4alzcOq3EaNPoG,84
72,the white stripes,eminem,4F84IBURUo98rz4r61KF70,73,7dGJo4pcD2V6oG8kP0tJRR,94
73,the raconteurs,d12,4wo1267SJuUfHgasdlfNfc,63,5Qi4Bb7a8C0a00NZcA77L0,66
74,the black crowes,jay-z,5krkohEVJYw0qoB5VWwxaC,63,3nFkdlSjzX9mRTtwJOzDYB,85
75,jack white,2pac,4FZ3j1oH43e7cukCALsCwf,61,1ZwdS5xdxEREPySFridCfh,81
76,the dead weather,trick daddy,4AZab8zo2nTYd7ORDmQu0V,49,12FHARd9fY0Tu0ila4Ua25,60
77,the dirtbombs,mario,4wPKtZH8mW0PdLeWPneweb,32,20s0P9QLxGqKuCsGwFsp7w,70
78,dexys midnight runners,tony 214,4QTVePrFu1xuGM9K0kNXkk,66,4uq1qbbmEt5OSHMyAAW664,13
79,lisa coleman,ciara,63hYYCAWq84DG0M4Uj9ccd,17,2NdeV5rLm47xAvogXrYhJX,74
80,kenny chesney,shrx,3grHWM9bx2E9vwJCdlRv9O,76,4TxvvC7Yq74K6io2r4yp3e,22
81,the detroit cobras,allen stone,4tWFXbJnjC9lM3UzmOpUiR,39,536osqBGKzeozje8BfcGsa,58
82,sawyer brown,outkast,50hFWG3MaUUX5phNrrVc97,54,1G9G7WwrXka3Z1r7aIDjI7,75
83,hoobastank,jet,2MqhkhX4npxDZ62ObR5ELO,67,5ypxebeHEIXjMtJb17uJlI,65
84,the flesh,kid swift,4MRa1EZ5ARwvMzdReJ7Ycy,1,7rEoWSmtfAdSxqZZceghya,30
85,girl bros.,shannon k,5Fe7lgCHgCB8oZhG3KoTZz,30,78CGeleRIUbrzD47TLlI8U,50
86,the emerald express,my chemical romance,0,0,7FBcuc1gsnv6Y1nwFtNRCb,79
87,sponge,kevin lyttle,2JXDwIo5HsiwTcTPQytrZ8,48,1GaBsp1ICIp1e6udgE7fba,57
88,94 east,seth patrick,0Vl8HhdQAUi6sJfNQuZHQL,21,1mDv4N8Qh2ueQUOB0kF6n7,28
89,the gories,kelis,5tcr1ujTO3Q0WH2wkY7RWh,31,0IF46mUS8NXjgHabxk2MCM,65
90,george jones,beyoncé,2OpqcUtj10HHvGG6h9VYC5,65,6vWDO969PvNqNYHIOW5v0m,87
91,confederate railroad,brecnmari,1YPIe9qIMa99O0a0OW47Be,52,3t7b000GxeW65pKp2mXpH0,27
92,goober & the peas,ying yang twins,09RNiiqzkrUDctiZqdXXnk,7,44PA0rCQXikgOWbfY7Fq7m,64
93,sammy kershaw,sean sahand,3tkZthBATD0S45hm1DmB2O,58,3ZE6dXaAq58YsOJa1pETQY,29
94,player,alan jackson,0fgtHVpOPfXb07S8Jx443z,56,4mxWe1mtYIYfP040G38yvS,74
95,the ceyleib people,chingy,5LlVkvZRvM1cHleD2HrLJw,4,3s2wTjWxK8NOX09dmsvVOh,61
96,2 star tabernacle,juvenile,0,0,0rG0AZBscc8S8q1ahIsasI,63
97,wendy melvoin,avé,23yaIfQozFQPSVO0yLAf2V,15,7zPS3i8YJBNeDcqXUHfCMr,63
98,camille,lil jon & the east side boyz,0gOsZcHl7H3ewXVIEnWFZX,54,3ciRvbBIVz9fBoPbtSYq4x,64
99,jack white and the bricks,wendy halo,0,0,733Qfvgf8RvoJhp5J35zxe,36
100,john michael montgomery,john michael montgomery,7mPcfx7PhnBh6n4HMCd61A,63,7mPcfx7PhnBh6n4HMCd61A,63
101,flotsam and jetsam,twista,1ApBh0VSoxRjjT3kFQZrpz,38,6vbY3hOaCAhC7VjucswgdS,70
102,prong,linkin park,6SER9tY2pDIDVWVf5Ql97B,44,6XyY86QOPPrYVGvF9ch6wz,86
103,the go,abster,0,0,6KbTepBmqOOdxyFI7ozubL,23
104,the family,nickelback,0eV7uNHXarEGKmDzr5jPxp,49,6deZN1bslXzeGvOLaLMOIF,78
105,mark wills,oddghxst,0dlwjJe4kg9TgOMN184bJF,53,3XRSO448VzTyhkDuChOFaw,30
106,madhouse,sean paul,3pZqwVklKUj1XRohYytabC,0,3Isy6kedDrgPYoTS1dazA9,82
107,doyle bramhall ii,lloyd,7Chzu4eSaqDHFXFvjaycAV,39,1Xfmvd48oOhEWkscWyEbh9,67
108,blacktop,berto amor,0vd3tEMFtcRCJUYozv1kj4,6,4wQUZvdjHQ8ZzPoDZn7zs3,7
109,king sound quartet,keith urban,0,0,0u2FHSq3ln94y5Q57xazwf,75
110,the upholsterers,toby keith,0,0,2bA6fzP0lMAQ4kz6CF61w8,71
111,susannah melvoin,j-kwon,0,0,1Zz5UxfKSSqc6hpa3xJPCw,56
112,aluminium,jessica simpson,3wNTFcf77XtAqu9XhyETAQ,25,2tFN9ubMXEhdAQvdQxcsma,55
113,gary myrick & the figures,switchfoot,1gfJfroBiJLCpt1rUYAfkR,19,6S58b0fr8TkWrEHOH4tRVu,63
114,3rdeyegirl,kenny chesney,1dDkI5AhrJqZuft1mVefDJ,26,3grHWM9bx2E9vwJCdlRv9O,76
115,kinesis,destiny's child,6YKaDeLUQBtR2lWeJP5clo,5,1Y8cdNmUJH7yBTd9yOvr5i,75
116,the wolfmanhattan project,britney spears,1S5clEfPqQYdLRh4YewXgj,4,26dSoYclwsYLMAKD3tpOr4,81
117,dr. hook,thomas ortiz,2Mhi3jfuRSdbVZPdjqsnnN,61,68Iv1LZvLXT8eeU8JcIkpE,30
118,paisley park,jagged edge,3ZwACdQWuyqOJK5D5c9C0t,8,7Aq8lpLMSt1Zxu56pe9bmp,66
119,alexander nevermind,los lonely boys,1HCq7xhKoRtKoXqXD59gWR,0,4aSEmLLxLX9wR5aLMllOKj,49
120,marla cannon-goodman,christina milian,74uAZmRdVsXyRNOPAS2Zxj,0,4eAOcbAXIF4BmbN6E1QIlw,55
121,the screws,beenie man,5KEwsNl30yUDw4QrLhE2PS,3,4L3GTE04bW5N7azA9QPhjA,61
122,the third man,ludacris,7lQypeK0fjBmILvFPMWBt3,2,3ipn9JLAPI5GUEo4y4jcoi,78
123,the modernaires,cassidy,3qKEtH1zoLm2ofNZivYevw,30,3WilJWdCNLSU7fpYjiKb7v,51
124,meg white,3 doors down,0ckm57lXaAapgbDYYOkerb,0,2RTUTCvo6onsAnheUk3aL9,72
125,tall poppy red,versed in grey,0,0,5e5m7j6MFpWAzc9TVhusdT,15
126,wendy & lisa,youngbloodz,5Fe7lgCHgCB8oZhG3KoTZz,30,2OqENqJFXPORP4BUGnu2Qq,58
127,jonathan melvoin,monica,0,0,6nzxy2wXs6tLgzEtqOkEi2,65
128,herb ellis & ray brown sextet,ryan cabrera,0,0,3C4t1usFGoKHCSRdujm2GN,53
129,blanche,akon,77oJgo5Qgg0D5gg5oByGMH,15,0z4gvV4rjIZ9wHck67ucSV,81
130,the alphabet,nick cannon,528i1EC8qdydioEZotKCtW,7,480i0t8YiGc2aoOR6BeLAb,47
131,bradley cooper,eamon,4VIvfOurcf0vuLRxLkGnIG,77,1y20PpXw0yeuJ1avCD0Ob9,58
132,jim carrey,petey pablo,30MCPVWV1iZrs2gxciRRk4,26,4Js9eYwAf9rypNtV8pNSw9,59
133,the mood elevator,softspoken,58Mc3E1pJEc61A0ROZuxZ0,0,3y8JSazi8hWvLiSFXQqGIk,26
134,melonie cannon,usher,1ov3V5yMaqFCP1Rb03c9Fo,18,23zg3TcAtWQy7J6upgbUnj,82
135,jordan dickerson,ruben studdard,0,0,0H0yrKDty3I7pPrNUSH3wW,45
136,the wildbunch,lil' flip,3s9bukASoTnfxMf1WF5MqB,7,4Q5sPmM8j4SpMqL4UA1DtS,57
137,the blue ox babes,jadakiss,1Dd6poAJPqNcam0Kqmwfgg,3,5pnbUBPifNnlusY8kTBivi,68
138,cassidy,hoobastank,3WilJWdCNLSU7fpYjiKb7v,51,2MqhkhX4npxDZ62ObR5ELO,67
139,ireland baldwin,fond of rudy,0,0,3ovhPYIFC8jEBnrRKcrlcI,24
140,the maverick choir,avant,0,0,0AunegKKH2ys98aLxq8G1A,58
141,clinton gregory,dido,5Bv4d581TzctwcP2twjJ8D,11,2mpeljBig2IXLXRAFO9AAs,71
142,rose mazzola,kelly clarkson,0,0,3BmGtnKgCSGYIUhmivXKWX,77
143,dan john miller,baby bash,0VhPMOvvrDXODXb5QhdvcO,2,12PSlydMSjEHzSCj9X5qv7,65
144,joy deb,black eyed peas,2xvrywokCTjYy5lVcmYTN3,1,1yxSLGMDHlW21z4YXirZDS,83
145,ko and the knockouts,five for fighting,1oZxNgERBE1KIyL0Lm4t3D,7,7FgMLbnZVrEnir95O0YujA,62
146,the come ons,terror squad,0pi3iSfCtwGpGbvs7b2Kv9,6,2BvzbqWWwLN11XGBYgDZzx,54
147,tyka nelson,trey lewis,1vCgLj2vW4KhX5axAs3TPh,1,15tTVhFpH8EFXeDgO9xkRO,20
148,deep purple,evanescence,568ZhdwyaiCyOGJRtNYhWf,71,5nGIFgo0shDenQYSE0Sn7c,73
149,black sabbath,ashlee simpson,5M52tdBnJaKSvOpJGz8mfZ,75,4hqDqHtBlgxXpLXVYf7c8L,52
150,ac/dc,avril lavigne,711MCceyCBcFnzjGY4Q7Un,83,0p4nmQO2msCgU4IF37Wi3j,78
151,whitesnake,mario winans,3UbyYnvNIT5DFXU4WgiGpP,69,4BIQA9vRkqXEnA2twmq7mU,59
152,queen,nelly,1dfeR4HaWDbWqFHLkxsg1d,89,2gBjLmx6zQnFGQJCAQpRgw,76
153,the who,tim mcgraw,67ea9eGLXYMsO2eYQRui3w,73,6roFdX1y5BYSbp60OTJWMd,75
154,eagles,jojo,0ECwFtbIWEVNwjlrfc6xoL,78,5xuNBZoM7z1Vv8IQ6uM0p6,67
155,electric light orchestra,ll cool j,7jefIIksOi1EazgRTfW2Pk,74,1P8IfcNKwrkQP5xJWuhaOC,65
156,fleetwood mac,g-unit,08GQAI4eElDnROBrJRGE0X,82,6evKD5JWJON3qPBJtUEmtY,63
157,the kinks,r. kelly,1SQRv42e4PjEYfPhS0Tk9E,71,2mxe0TnaNL039ysAj51xPQ,71
158,eric clapton,santana,6PAt558ZEZl0DmdXlnjMgD,76,6GI52t8N5F02MxU0g5U69P,73
159,uriah heep,finger eleven,45O9BwPMyywM755SYUK0sP,56,0niJkG4tKkne3zwr7I8n9n,59
160,guns n’ roses,guns n' roses,3qm84nBOXUEQ2vnTfUTTFC,82,3qm84nBOXUEQ2vnTfUTTFC,82
161,the yardbirds,eagles,2lxX1ivRYp26soIavdG9bX,55,0ECwFtbIWEVNwjlrfc6xoL,78
162,duran duran,the doors,0lZoBs4Pzo7R89JM9lxwoT,70,22WZ7M8sxp5THdruNY3gXt,76
163,santana,lynyrd skynyrd,6GI52t8N5F02MxU0g5U69P,73,4MVyzYMgTwdP7Z49wAZHx0,75
164,alice cooper,ac/dc,3EhbVgyfGd7HkpsagwL9GS,66,711MCceyCBcFnzjGY4Q7Un,83
165,r.e.m.,deep purple,4KWTAlx2RvbpseOGMEmROg,76,568ZhdwyaiCyOGJRtNYhWf,71
166,cream,pink floyd,74oJ4qxwOZvX6oSsu1DGnw,68,0k17h0D3J5VfsdmQ1iZtE9,83
167,james gang,boston,5hfOHpGMsi8O3DA0ROLGqF,61,29kkCKKGXheHuoO829FxWK,70
168,the guess who,derek & the dominos,0cQuYRSzlItquYxsQKDvVc,61,2rc78XDH9zuJP6bm78lU8Z,63
169,faces,aerosmith,3v4feUQnU3VEUqFrjmtekL,61,7Ey4PD4MYsKc5I2dolUwbH,78
170,the doors,kiss,22WZ7M8sxp5THdruNY3gXt,76,07XSN3sPlIlB2L2XNcTwJw,74
171,the allman brothers band,steppenwolf,4wQ3PyMz3WwJGI5uEqHUVR,68,1WRM9i067hd2ujxxi8FI3m,65
172,bob dylan,kansas,74ASZWbe4lXaubB36ztrGX,77,2hl0xAkS2AIRAu23TVMBG1,69
173,the sisters of mercy,the clash,2CSWBwhuu4bearI8swf8Gj,16,3RGLhK1IP9jnYFH4BRFJBS,73
174,the lightning seeds,whitesnake,67YNiSqhrx1P8oPvIIvbP5,51,3UbyYnvNIT5DFXU4WgiGpP,69
175,manfred mann’s earth band,eric clapton,2utNxkLhreF1oIfO8kQT3q,58,6PAt558ZEZl0DmdXlnjMgD,76
176,small faces,black sabbath,1YqGsKpdixxSVgpfaL2AEQ,51,5M52tdBnJaKSvOpJGz8mfZ,75
177,rainbow,led zeppelin,6SLAMfhOi7UJI0fMztaK0m,62,36QJpDe2go2KgaRleHCDTp,81
178,king crimson,free,7M1FPw29m5FbicYzS2xdpi,59,2e53aHBQdCMKWqHDuyJsjC,61
179,erasure,john fogerty,0z5DFXmhT4ZNzWElsM7V89,65,5ujCegv1BRbEPTCwQqFk6t,58
180,journey,bob seger,0rvjqX7ttXeg3mTy8Xscbt,76,485uL27bPomh29R4JmQehQ,70
181,pete townshend,bob dylan,24Wa5wIZIo1sPkzVGP0B5p,49,74ASZWbe4lXaubB36ztrGX,77
182,john mayall & the bluesbreakers,cream,2ScuQMRWThcifBRIvNDFDC,50,74oJ4qxwOZvX6oSsu1DGnw,68
183,squeeze,the doobie brothers,6Jrj26oAY96EEC2lqC6fua,55,39T6qqI0jDtSWWioX8eGJz,71
184,simon & garfunkel,the hollies,70cRZdQywnSFp9pnc2WTCE,76,6waa8mKu91GjzD4NlONlNJ,65
185,humble pie,don mclean,2CxLP749mup3ncPrXgCnvU,45,1gRNBaI4yn6wCCTvRhGWh8,68
186,level 42,the cure,0L9xkvBPcEp1nrhDrodxc5,58,7bu3H8JO7d0UbMoVzbo70s,76
187,styx,van halen,4salDzkGmfycRqNUbyBphh,65,2cnMpRsOVqtPMfq7YiFE6K,74
188,faith no more,the animals,6GbCJZrI318Ybm8mY36Of5,66,3ICflSq6ZgYAIrm2CTkfVP,67
189,65daysofstatic,the kinks,6DVVsQAnpHdJjb1nYuOQ6g,46,1SQRv42e4PjEYfPhS0Tk9E,71
190,"emerson, lake & palmer",tom petty,0nCiidE5GgDrc5kWN3NZgZ,55,2UZMlIwnkgAEDBsw1Rejkn,72
191,asia,journey,1bdytLV3FPjyhfrb6BhMej,55,0rvjqX7ttXeg3mTy8Xscbt,76
192,blind faith,fleetwood mac,5GUVj2b1lJ4DolQyHlzyaO,50,08GQAI4eElDnROBrJRGE0X,82
193,ufo,bruce springsteen,2Omy3P5hFZym7FKum1JA1s,55,3eqjTLE0HfPfh78zjh6TqT,79
194,katy perry,the knack,6jJ0s89eD6GaHleKKya26X,86,0Nn9YwJzcaeuU1jJL06e3r,61
195,usa for africa,radiohead,2z16cLWVwv6yhVZil2tRq8,1,4Z8W4fKeB5YxbusRsdQVPb,80
196,1984,red hot chili peppers,2UNaUwHwER9f5lZVgYuAGX,3,0L8ExT028jH3ddEcZwqJJ5,84
197,helloween,thin lizzy,4pQN0GB0fNEEOfQCaWotsY,61,6biWAmrHyiMkX49LkycGqQ,66
